Year,Team,With Top 5 Players,Total VORP,Total TS%,Total TRB%,Total AST%,Total BPM,Total WS,Total WS/48,Wins,Losses,Total Games,Win %
2011,WAS,True,1.3599999999999999,55.059999999999995,14.180000000000001,21.699999999999996,1.0999999999999999,4.36,0.11259999999999999,23,59,82,0.2804878048780488
2012,ATL,True,1.98,57.06,14.080000000000002,22.22,1.48,5.5600000000000005,0.12479999999999998,40,26,66,0.6060606060606061
2012,BOS,True,3.2600000000000002,60.77999999999999,14.2,22.560000000000002,3.1799999999999997,8.7,0.16940000000000002,39,27,66,0.5909090909090909
2012,CHA,True,0.96,57.04,13.98,17.020000000000003,1.1102230246251566e-17,4.1,0.1192,7,59,66,0.10606060606060606
2012,CHI,True,3.0,56.18000000000001,15.66,23.54,2.9799999999999995,8.18,0.172,50,16,66,0.7575757575757576
2012,CLE,True,0.7799999999999999,58.68,13.7,26.419999999999998,-0.27999999999999997,2.8200000000000003,0.09580000000000001,21,45,66,0.3181818181818182
2012,DAL,True,2.94,63.040000000000006,14.620000000000001,24.46,3.0599999999999996,7.7,0.1708,36,30,66,0.5454545454545454
2012,DEN,True,2.22,62.12000000000001,15.440000000000001,20.440000000000005,2.34,6.959999999999999,0.16920000000000002,38,28,66,0.5757575757575758
2012,DET,True,0.9199999999999999,55.559999999999995,13.959999999999999,18.6,-0.12000000000000002,4.4799999999999995,0.10879999999999998,25,41,66,0.3787878787878788
2012,GSW,True,1.9400000000000002,58.24,15.419999999999998,22.14,0.76,6.06,0.1078,23,43,66,0.3484848484848485
2012,HOU,True,1.9,55.94,17.96,25.68,1.92,5.819999999999999,0.136,34,32,66,0.5151515151515151
2012,IND,True,1.8,59.25999999999999,16.06,21.619999999999997,1.06,5.779999999999999,0.14320000000000002,42,24,66,0.6363636363636364
2012,LAC,True,2.8,58.93999999999999,17.439999999999998,31.32,2.56,7.5,0.1562,40,26,66,0.6060606060606061
2012,LAL,True,3.04,58.620000000000005,15.780000000000001,21.96,3.2199999999999998,8.18,0.1822,41,25,66,0.6212121212121212
2012,MEM,True,2.6,56.099999999999994,16.86,21.919999999999998,2.5,7.040000000000001,0.154,41,25,66,0.6212121212121212
2012,MIA,True,3.84,60.699999999999996,14.64,19.759999999999998,3.8599999999999994,9.48,0.1836,46,20,66,0.696969696969697
2012,MIL,True,1.8800000000000001,56.26,15.24,22.46,1.3599999999999999,5.58,0.124,31,35,66,0.4696969696969697
2012,MIN,True,1.56,57.86,14.9,20.96,1.34,4.98,0.1298,26,40,66,0.3939393939393939
2012,NJN,True,1.58,57.14,15.86,30.640000000000004,1.4600000000000002,5.12,0.1316,22,44,66,0.3333333333333333
2012,NOH,True,1.08,55.51999999999999,14.940000000000001,19.76,0.06000000000000005,4.220000000000001,0.1016,21,45,66,0.3181818181818182
2012,NYK,True,1.8,64.52,14.580000000000002,22.6,2.3,6.4799999999999995,0.17119999999999996,36,30,66,0.5454545454545454
2012,OKC,True,2.92,59.919999999999995,15.84,22.6,2.54,8.040000000000001,0.1588,47,19,66,0.7121212121212122
2012,ORL,True,2.64,57.879999999999995,14.219999999999999,25.6,2.9199999999999995,7.6,0.17420000000000002,37,29,66,0.5606060606060606
2012,PHI,True,2.22,55.93999999999999,13.540000000000001,20.82,1.72,6.62,0.13820000000000002,35,31,66,0.5303030303030303
2012,PHO,True,1.7,58.900000000000006,12.9,23.52,1.04,5.540000000000001,0.1278,33,33,66,0.5
2012,POR,True,2.02,58.18,17.8,24.48,1.2,6.5200000000000005,0.1338,28,38,66,0.42424242424242425
2012,SAC,True,1.1199999999999999,53.7,15.34,16.919999999999998,0.45999999999999996,3.62,0.0934,22,44,66,0.3333333333333333
2012,SAS,True,2.72,59.72,15.4,26.98,2.82,7.3,0.16360000000000002,50,16,66,0.7575757575757576
